#CONFIG#{"theme": "light", "font_size": 16, "window_width": 2048, "window_height": 1189, "font_family": "Microsoft YaHei UI"}
时间,科目,题干,正确答案,附件路径,难度,合集
2026-02-01 09:07:43,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",根据椭圆的标准方程和离心率公式计算。,attachment_1.pdf,困难,
2026-02-13 19:45:23,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-10 17:02:54,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用线性规划的方法求目标函数的最值。,attachment_3.pdf,困难,
2026-02-14 15:45:05,语文,下列各句中，加点的成语使用恰当的一句是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-01-25 20:38:47,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,根据椭圆的标准方程和离心率公式计算。,attachment_5.pdf,简单,
2026-01-29 12:54:36,语文,文言文阅读：阅读下面的文言文，完成题目,分析句子结构，找出语病类型并修正。,无,困难,
2026-02-17 10:20:18,语文,下列文学常识的表述，错误的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_7.pdf,中等,
2026-02-19 11:48:40,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,求导后分析导函数的符号确定单调区间。,无,简单,
2026-02-16 22:00:56,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用线性规划的方法求目标函数的最值。,无,简单,
2026-02-09 10:39:39,语文,文言文阅读：阅读下面的文言文，完成题目,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-21 10:26:38,语文,下列各句中，没有语病的一句是,熟练背诵名篇名句，准确填写。,attachment_11.pdf,中等,
2026-01-29 17:55:48,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用正态分布的对称性求解概率。,attachment_12.pdf,中等,
2026-02-12 23:56:22,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用正态分布的对称性求解概率。,attachment_13.pdf,中等,
2026-02-21 10:35:42,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-20 08:39:50,语文,下列词语中，没有错别字的一组是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-03 17:50:09,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,attachment_16.pdf,简单,
2026-01-28 00:27:50,语文,下列文学常识的表述，错误的一项是,分析句子结构，找出语病类型并修正。,无,中等,
